autor,university,country,lat,lon
"Acher, Mathieu",University of Rennes 1,france,48.1159299,-1.67296
"Salinesi, Camille",Université Paris 1 Panthéon - Sorbonne,france,48.8469373,2.344468
"Mazo, Raúl",Université Paris 1 Panthéon - Sorbonne,france,48.8469373,2.344468
"Hastie, Trevor",Stanford University,usa,37.4274745,-122.169719
"Czarnecki, Krzysztof",University of Waterloo,canada,43.4722854,-80.5448576
"Capilla, Rafael",King Juan Carlos University,spain,40.3366526,-3.8748922
"Bécan, Guillaume",University of Rennes 1,france,48.1159299,-1.67296
"Becker, Martin",Fraunhofer Institute for Experimental Software Engineering IESE,germany,49.43083,7.752617
"Zhang, Li",School of Computer Science and Engineering,china,39.9809553,116.3450677
"Zhang, Bo",Univ. of Kaiserslautern,germany,49.4253647,7.7556483
“Weber, Richard”,Cambridge University,england,52.2042035,0.1148054 